ITEMID,JUDUL,PENULIS,KURIKULUM,TAHUNTERBIT,JENJANG,PARETO, HARGA 
0003060010,ENSIKLOPEDIA PERMAINAN TRADISIONAL ANAK INDONESIA,TIM PLAY PLUS-NINDYA KUSUMA DEWI,ANAK,2016,ANAK,0," 130,000 "
0005000010,BUKU 1: 35 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 80,000 "
0005000020,BUKU 2: 26 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 95,000 "
0005000030,BUKU 3: 26 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 65,000 "
0005000040,BUKU 4: 33 PERCOBAAN MUDAH & MENYENANGKAN,DELPHINE GRINBERG-ISABELLE CHAVIGNY-ISABELLE PELLEGRINI,ANAK,2017,ANAK,0," 90,000 "
0005020020,RPAL: BENDA DAN SIFATNYA,"DRS. SUDIBYO, M.M",ANAK,2017,ANAK,0," 65,000 "
0020040010,TEKNOLOGI INFO&KOM JL.1/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 66,000 "
0020040020,TEKNOLOGI INFO&KOM JL.2/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 68,000 "
0020040030,TEKNOLOGI INFO&KOM JL.3/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 75,000 "
0020040040,TEKNOLOGI INFO&KOM JL.4/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 60,000 "
0020040050,TEKNOLOGI INFO&KOM JL.5/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 75,000 "
0020040060,TEKNOLOGI INFO&KOM JL.6/KTSP/REVISI,HINDRASWARI,KTSP,2012,SD,0," 66,000 "
0020070010,MEDIA PEMBELAJARAN EXAM SD 180 HARI FISIK,ERLANGGA DIGITAL,K2013,2017,SD,0," 650,000 "
0020070020,MEDIA PEMBELAJARAN EXAM SD 365 HARI FISIK,ERLANGGA DIGITAL,K2013,2017,SD,0," 1,200,000 "
0022070010,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.5,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 80,000 "
0022070040,SERI PENGAYAAN PAI SD/MI: MENGENAL HAJI & UMRAH,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 70,000 "
0022070060,SERI PENGAYAAN PAI SD/MI: MENGENAL ZAKAT,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 52,000 "
0022070080,SERI PENGAYAAN PAI SD/MI: IMAN KPD KITAB-KITAB ALLAH SWT,SRI MINTARTI-AYEP ROSIDI,UMUM,2016,SD,0," 67,000 "
0022070120,SERI PENGAYAAN PAI SD/MI: MENGENAL PUASA,HIMAWAN-SITI ROCHANI-SRI MINTARTI,UMUM,2016,SD,0," 50,000 "
0022070130,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.4,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 75,000 "
0022070140,SERI PENGAYAAN PAI SD/MI: MENGENAL ASMAUL HUSNA JL.3,SRI MINTARTI-HIMAWAN,UMUM,2016,SD,0," 70,000 "
0022070190,PELAJAR INDONESIA ANTI NARKOBA,ABDUL WAHIB,UMUM,2016,UMUM,0," 75,000 "
0022070200,MEREGUK 50 PESAN ILAHI,NASRULLAH NURDIN,UMUM,2016,SD,0," 90,000 "
0022970100,BINA FIQIH MI KLS.I/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 52,000 "
0022970110,BINA FIQIH MI KLS.II/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 43,000 "
0022970120,BINA FIQIH MI KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 50,000 "
0022970131,BINA FIQIH MI KLS.IV/K13N,TIM BINA KARYA GURU,K13N,2017,MI,0," 35,000 "
0022970140,BINA FIQIH MI KLS.V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 35,000 "
0022970150,BINA FIQIH MI KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 33,000 "
0022970160,BINA AKIDAH AKHLAK/MI/KLS.I/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 50,000 "
0022970170,BINA AKIDAH AKHLAK/MI/KLS.II/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 45,000 "
0022970180,BINA AKIDAH AKHLAK/MI/KLS.III/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 60,000 "
0022970190,BINA AKIDAH AKHLAK/MI/KLS.IV/K2013,TIM BINA KARYA GURU,K2013,2015,MI,0," 48,000 "
0022970200,BINA AKIDAH AKHLAK/MI/KLS.V/K2013,TIM BINA KARYA GURU,K2013,2016,MI,0," 40,000 "
0022970210,BINA AKIDAH AKHLAK/MI/KLS.VI/K2013,TIM BINA KARYA GURU,K2013,2017,MI,0," 35,000 "
0023000130,IPS TERPADU SD JL.1/K2013,TIM BINA KARYA GURU,K2013,2013,SD,0," 60,000 "
0023000131,IPS TERPADU SD JL.1/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 48,000 "
0023000140,IPS TERPADU SD JL.2/K2013,TIM BINA KARYA GURU,K2013,2014,SD,0," 67,000 "
0023000141,IPS TERPADU SD JL.2/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 55,000 "
0023000150,IPS TERPADU SD JL.3/K2013,TIM BINA KARYA GURU,K2013,2015,SD,0," 58,000 "
0023000151,IPS TERPADU SD JL.3/K13N,TIM BINA KARYA GURU,K2013,2018,SD,0," 58,999 "
0023000160,IPS TERPADU SD JL.4/K2013,TIM BINA KARYA GURU,K2013,2013,SD,0," 66,000 "
0023000161,IPS TERPADU SD JL.4/K13N,TIM BINA KARYA GURU,K13N,2016,SD,0," 56,000 "
0023000170,IPS TERPADU SD JL.5/K2013,TIM BINA KARYA GURU,K2013,2014,SD,0," 66,000 "
0023000171,IPS TERPADU SD JL.5/K13N,TIM BINA KARYA GURU,K13N,2017,SD,0," 60,000 "
0023000180,IPS TERPADU SD JL.6/K2013,TIM BINA KARYA GURU,K2013,2015,SD,0," 70,000 "
0023000181,IPS TERPADU SD JL.6/K13N,TIM BINA KARYA GURU,K2013,2018,SD,0," 70,999 "
0023000310,ESPS: IPS SD/MI KLS.I/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000320,ESPS: IPS SD/MI KLS.II/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000330,ESPS: IPS SD/MI KLS.III/KTSP,NANI R.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023000340,ESPS: IPS SD/MI KLS.IV/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 75,000 "
0023000350,ESPS: IPS SD/MI KLS.V/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 85,000 "
0023000360,ESPS: IPS SD/MI KLS.VI/KTSP,NANI R.-IRMA MURTI K.,KTSP,2015,SD,0," 78,000 "
0023000370,SAKTI: IPS KLS.1/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2016,SD,0," 45,000 "
0023000380,SAKTI: IPS KLS.2/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2016,SD,0," 38,000 "
0023000390,SAKTI: IPS KLS.3/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2016,SD,0," 40,000 "
0023000400,SAKTI: IPS KLS.4/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 52,000 "
0023000410,SAKTI: IPS KLS.5/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 50,000 "
0023000420,SAKTI: IPS KLS.6/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 50,000 "
0023000430,ESPS: IPS SD/MI KLS.I/K13N,NANI R.-IRMA MURTI K.,K13N,2017,SD,0," 65,000 "
0023000440,ESPS: IPS SD/MI KLS.II/K13N,NANI R.-IRMA MURTI K.,K13N,2017,SD,0," 65,000 "
0023000450,ESPS: IPS SD/MI KLS.III/K13N,NANI R.-IRMA MURTI K.,K13N,2018,SD,0," 65,999 "
0023000460,ESPS: IPS SD/MI KLS.IV/K13N,NANI R.-IRMA MURTI K.,K13N,2016,SD,0," 80,000 "
0023000470,ESPS: IPS SD/MI KLS.V/K13N,NANI R.-IRMA MURTI K.,K13N,2017,SD,0," 85,000 "
0023000480,ESPS: IPS SD/MI KLS.VI/K13N,NANI R.-IRMA MURTI K.,K13N,2018,SD,0," 85,999 "
0023230260,ESPS: PPKN SD/MI KLS.I/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023230270,ESPS: PPKN SD/MI KLS.II/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2016,SD,0," 73,000 "
0023230280,ESPS: PPKN SD/MI KLS.III/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2016,SD,0," 65,000 "
0023230290,ESPS: PPKN SD/MI KLS.IV/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2015,SD,0," 75,000 "
0023230300,ESPS: PPKN SD/MI KLS.V/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2015,SD,0," 75,000 "
0023230310,ESPS: PPKN SD/MI KLS.VI/KTSP,DWI TYAS U.-IRMA MURTI K.,KTSP,2015,SD,0," 75,000 "
0023230380,SAKTI: PPKN KLS.4/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 45,000 "
0023230390,SAKTI: PPKN KLS.5/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 50,000 "
0023230400,SAKTI: PPKN KLS.6/KTSP,DWI TYAS UTAMI-IRMA MURTI,KTSP,2015,SD,0," 50,000 "
0023230410,ESPS: PPKN SD/MI KLS.I/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2017,SD,0," 68,000 "
0023230420,ESPS: PPKN SD/MI KLS.II/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2017,SD,0," 70,000 "
0023230430,ESPS: PPKN SD/MI KLS.III/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2018,SD,0," 70,999 "
0023230440,ESPS: PPKN SD/MI KLS.IV/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2017,SD,0," 60,000 "
0023230450,ESPS: PPKN SD/MI KLS.V/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2017,SD,0," 75,000 "
0023230460,ESPS: PPKN SD/MI KLS.VI/K13N,DWI TYAS U.-IRMA MURTI K.,K13N,2018,SD,0," 75,999 "
0023230470,SAKTI: PPKN KLS.1/KTSP,DWI TYAS UTAMI,KTSP,2016,SD,0," 36,000 "
0023230480,SAKTI: PPKN KLS.2/KTSP,DWI TYAS UTAMI,KTSP,2016,SD,0," 40,000 "
0023230490,SAKTI: PPKN KLS.3/KTSP,DWI TYAS UTAMI,KTSP,2016,SD,0," 38,000 "
0023710420,TEMATIK TERPADU: TEMA DIRIKU JL.1A/2013,"DWI TYAS UTAMI, DKK",K2013,2013,SD,0," 60,000 "
0023710421,TEMATIK TERPADU: TEMA DIRIKU JL.1A/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2016,SD,0," 60,000 "
0023710430,TEMATIK TERPADU: TEMA KEGEMARANKU JL.1B/2013,"DWI TYAS UTAMI, DKK",K2013,2013,SD,0," 56,000 "
0023710431,TEMATIK TERPADU: TEMA KEGEMARANKU JL.1B/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2016,SD,0," 63,000 "
0023710440,TEMATIK TERPADU: TEMA KEGIATANKU JL.1C/2013,"DWI TYAS UTAMI, DKK",K2013,2013,SD,0," 56,000 "
0023710441,TEMATIK TERPADU: TEMA KEGIATANKU JL.1C/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2016,SD,0," 56,000 "
0023710450,TEMATIK TERPADU: KELUARGAKU JL.1D/2013,"DWI TYAS UTAMI, DKK",K2013,2013,SD,0," 56,000 "
0023710451,TEMATIK TERPADU: KELUARGAKU JL.1D/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2016,SD,0," 56,000 "
0023710460,TEMATIK TERPADU: PENGALAMANKU 1E/K2013,DWI TYAS UTAMI-IRENE MARIA,K2013,2013,SD,0," 56,000 "
0023710461,TEMATIK TERPADU: PENGALAMANKU 1E/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2017,SD,0," 56,000 "
0023710470,"TEMATIK TERPADU: LINGKUNGAN BERSIH, SEHAT & ASRI 1F/K2013",DWI TYAS UTAMI-IRENE MARIA,K2013,2013,SD,0," 56,000 "
0023710471,"TEMATIK TERPADU: LINGKUNGAN BERSIH, SEHAT & ASRI 1F/K13N",IRENE MJA-DWI TYAS-WINI K.,K13N,2017,SD,0," 56,000 "
0023710480,"TEMATIK TERPADU: BENDA, HEWAN & TNM DISEKITARKU 1G/K2013",DWI TYAS UTAMI-IRENE MARIA,K2013,2014,SD,0," 56,000 "
0023710481,"TEMATIK TERPADU: BENDA, HEWAN & TNM DISEKITARKU 1G/K13N",IRENE MJA-DWI TYAS-WINI K.,K13N,2017,SD,0," 56,000 "
0023710490,TEMATIK TERPADU: PERISTIWA ALAM 1H/K2013,DWI TYAS UTAMI-IRENE MARIA,K2013,2014,SD,0," 56,000 "
0023710491,TEMATIK TERPADU: PERISTIWA ALAM 1H/K13N,IRENE MJA-DWI TYAS-WINI K.,K13N,2017,SD,0," 56,000 "
0023710500,TEMATIK TERPADU: TEMA INDAHNYA KEBERSAMAAN JL.4A/K2013,"F. SUSILAWATI, DKK",K2013,2013,SD,0," 60,000 "
0023710501,TEMATIK TERPADU: TEMA INDAHNYA KEBERSAMAAN JL.4A/K13N,"FRANSISKA S., DKK",K13N,2016,SD,0," 65,000 "
0023710502,TEMATIK TERPADU: TEMA INDAHNYA KEBERSAMAAN JL.4A/K13N-REV,"FRANSISKA S., DKK",K13N,2018,SD,0," 65,999 "
0023710510,TEMATIK TERPADU: TEMA SELALU BERHEMAT ENERGI JL.4B/K2013,"F. SUSILAWATI, DKK",K2013,2013,SD,0," 60,000 "
0023710511,TEMATIK TERPADU: TEMA SELALU BERHEMAT ENERGI JL.4B/K13N,"FRANSISKA S., DKK",K13N,2016,SD,0," 67,000 "
0023710512,TEMATIK TERPADU: TEMA SELALU BERHEMAT ENERGI JL.4B/K13N-REV,"FRANSISKA S., DKK",K13N,2018,SD,0," 67,999 "
0023710520,TEMATIK TERPADU: TEMA PEDULI MAKHLUK HIDUP JL.4C/K2013,"F. SUSILAWATI, DKK",K2013,2013,SD,0," 60,000 "
0023710521,TEMATIK TERPADU: TEMA PEDULI MAKHLUK HIDUP JL.4C/K13N,"FRANSISKA S., DKK",K13N,2016,SD,0," 67,000 "
0023710522,TEMATIK TERPADU: TEMA PEDULI MAKHLUK HIDUP JL.4C/K13N-REV,"FRANSISKA S., DKK",K13N,2018,SD,0," 67,999 "
0023710530,TEMATIK TERPADU: TEMA BERBAGI PEKERJAAN JL.4D/K2013,"F. SUSILAWATI, DKK",K2013,2013,SD,0," 60,000 "
0023710531,TEMATIK TERPADU: TEMA BERBAGI PEKERJAAN JL.4D/K13N,"FRANSISKA S., DKK",K13N,2016,SD,0," 59,000 "
0023710532,TEMATIK TERPADU: TEMA BERBAGI PEKERJAAN JL.4D/K13N-REV,"FRANSISKA S., DKK",K13N,2018,SD,0," 59,999 "
0023710540,TEMATIK TERPADU: TEMA PAHLAWANKU 4E/K2013,FRANSISKA S.-INDAH SOFIANI-ASTRID W.,K2013,2013,SD,0," 60,000 "
0023710541,TEMATIK TERPADU: TEMA PAHLAWANKU 4E/K13N,"FRANSISKA S., DKK",K13N,2016,SD,0," 59,000 "
0023710542,TEMATIK TERPADU: TEMA PAHLAWANKU 4E/K13N-REV,"FRANSISKA S., DKK",K13N,2018,SD,0," 59,999 "
0023710550,TEMATIK TERPADU: TEMA INDAHNYA NEGERIKU 4F/K2013,FRANSISKA S.-INDAH SOFIANI-ASTRID W.,K2013,2013,SD,0," 60,000 "
0023710551,TEMATIK TERPADU: TEMA CITA-CITAKU 4F/K13N,"FRANSISKA S., DKK",K13N,2017,SD,0," 58,000 "
0023710560,TEMATIK TERPADU: TEMA CITA-CITAKU 4G/K2013,FRANSISKA S.-INDAH SOFIANI-ASTRID W.,K2013,2014,SD,0," 60,000 "
0023710561,TEMATIK TERPADU: JL.4G INDAHNYA KERAGAMAN DINEGERIKU/K13N,"FRANSISKA S., DKK",K13N,2017,SD,0," 58,000 "
0023710570,TEMATIK TERPADU: TEMPAT TINGGALKU 4H/K2013,FRANSISKA S.-INDAH SOFIANI-ASTRID W.,K2013,2014,SD,0," 60,000 "
0023710571,TEMATIK TERPADU: TEMPAT TINGGALKU 4H/K13N,"FRANSISKA S., DKK",K13N,2017,SD,0," 60,000 "
0023710580,TEMATIK TERPADU: MAKANANKU SEHAT & BERGIZI 4I/K2013,FRANSISKA S.-INDAH SOFIANI-ASTRID W.,K2013,2014,SD,0," 60,000 "
0023710581,TEMATIK TERPADU: JL.4I KAYANYA NEGERIKU/K13N,"FRANSISKA S., DKK",K13N,2017,SD,0," 60,000 "
0023710590,ENGLISH ACTIVITIES FOR ES JL.1,LIDWINA SRI A.,KTSP,2014,SD,0," 37,000 "
0023710600,ENGLISH ACTIVITIES FOR ES JL.2,LIDWINA SRI A.,KTSP,2014,SD,0," 35,000 "
0023710610,ENGLISH ACTIVITIES FOR ES JL.3,LIDWINA SRI A.,KTSP,2014,SD,0," 48,000 "
0023710620,ENGLISH ACTIVITIES FOR ES JL.4,LIDWINA SRI A.,KTSP,2014,SD,0," 37,000 "
0023710630,ENGLISH ACTIVITIES FOR ES JL.5,LIDWINA SRI A.,KTSP,2014,SD,0," 43,000 "
0023710640,ENGLISH ACTIVITIES FOR ES JL.6,LIDWINA SRI A.,KTSP,2014,SD,0," 43,000 "
0023711230,BUPENA: DIRIKU 1A/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711240,BUPENA: KEGEMARANKU 1B/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711250,BUPENA: KEGIATANKU 1C/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711260,BUPENA: KELUARGAKU 1D/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711270,BUPENA: PENGALAMANKU 1E/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711280,"BUPENA: LINGKUNGAN BERSIH, SEHAT, ASRI 1F/K2013","IRENE, DKK",K2013,2014,SD,0," 36,000 "
0023711290,"BUPENA: BENDA, HEWAN, TANAMAN DISEKITARKU 1G/K2013","IRENE, DKK",K2013,2015,SD,0," 36,000 "
0023711300,BUPENA: PERISTIWA ALAM 1H/K2013,"IRENE, DKK",K2013,2015,SD,0," 36,000 "
0023711380,TEMATIK TERPADU: BENDA2 DI LINGKUNGAN SEKITAR JL.5A/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711381,TEMATIK TERPADU: ORGAN GERAK HEWAN & MANUSIA JL.5A/K13N,FRANSISKA-INDAH-ASTRID,K13N,2017,SD,0," 58,000 "
0023711390,TEMATIK TERPADU: PERISTIWA DLM KEHIDUPAN JL.5B/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711391,TEMATIK TERPADU: UDARA BERSIH BAGI KESEHATAN JL.5B/K13N,FRANSISKA-INDAH-ASTRID,K13N,2017,SD,0," 58,000 "
0023711400,TEMATIK TERPADU: KERUKUNAN DALAM BERMASYARAKAT JL.5C/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711401,TEMATIK TERPADU: MAKANAN SEHAT JL.5C/K13N,FRANSISKA-INDAH-ASTRID,K13N,2017,SD,0," 58,000 "
0023711410,TEMATIK TERPADU: SEHAT ITU PENTING JL.5D/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711411,TEMATIK TERPADU: SEHAT ITU PENTING JL.5D/K13N,FRANSISKA-INDAH-ASTRID,K13N,2017,SD,0," 58,000 "
0023711420,TEMATIK TERPADU: BANGGA SBG BANGSA IND JL.5E/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711421,TEMATIK TERPADU: EKOSISTEM JL.5E/K13N,FRANSISKA-INDAH-ASTRID,K13N,2017,SD,0," 58,000 "
0023711430,TEMATIK TERPADU: ORGAN TUBUH MANUSIA & HWN JL.5F/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711431,TEMATIK TERPADU: ORGAN TUBUH MANUSIA & HWN JL.5F/K13N,FRANSISKA-INDAH-ASTRID,K13N,2018,SD,0," 65,000 "
0023711440,TEMATIK TERPADU: SEJARAH PERADABAN IND JL.5G/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 60,000 "
0023711441,TEMATIK TERPADU: SEJARAH PERADABAN IND JL.5G/K13N,FRANSISKA-INDAH-ASTRID,K13N,2018,SD,0," 65,000 "
0023711450,TEMATIK TERPADU: EKOSISTEM JL.5H/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 50,000 "
0023711451,TEMATIK TERPADU: EKOSISTEM JL.5H/K13N,FRANSISKA-INDAH-ASTRID,K13N,2018,SD,0," 65,000 "
0023711460,TEMATIK TERPADU: LINGKUNGAN SAHABAT KITA JL.5I/K2013,FRANSISKA-INDAH-ASTRID-DIANA,K2013,2014,SD,0," 50,000 "
0023711461,TEMATIK TERPADU: LINGKUNGAN SAHABAT KITA JL.5I/K13N,FRANSISKA-INDAH-ASTRID,K13N,2018,SD,0," 65,000 "
0023711470,TEMATIK TERPADU: HIDUP RUKUN JL.2A/K2013,"IRENE, DKK",K2013,2014,SD,0," 56,000 "
0023711471,TEMATIK TERPADU: HIDUP RUKUN JL.2A/K13N,"IRENE, DKK",K13N,2017,SD,0," 56,000 "
0023711480,TEMATIK TERPADU: BERMAIN DILINGKUNGANKU JL.2B/K2013,"IRENE, DKK",K2013,2014,SD,0," 56,000 "
0023711481,TEMATIK TERPADU: BERMAIN DILINGKUNGANKU JL.2B/K13N,"IRENE, DKK",K13N,2017,SD,0," 56,000 "
0023711490,TEMATIK TERPADU: TUGASKU SEHARI2 JL.2C/K2013,"IRENE, DKK",K2013,2014,SD,0," 56,000 "
0023711491,TEMATIK TERPADU: TUGASKU SEHARI2 JL.2C/K13N,"IRENE, DKK",K13N,2017,SD,0," 56,000 "
0023711500,TEMATIK TERPADU: AKU & SEKOLAHKU JL.2D/K2013,"IRENE, DKK",K2013,2014,SD,0," 56,000 "
0023711501,TEMATIK TERPADU: AKU & SEKOLAHKU JL.2D/K13N,"IRENE, DKK",K13N,2017,SD,0," 56,000 "
0023711510,TEMATIK TERPADU: HIDUP BERSIH & SEHAT JL.2E/K2013,"IRENE, DKK",K2013,2014,SD,0," 56,000 "
0023711511,TEMATIK TERPADU: HIDUP BERSIH & SEHAT JL.2E/K13N,"IRENE, DKK",K13N,2018,SD,0," 65,000 "
0023711520,"TEMATIK TERPADU: AIR, BUMI & MATAHARI JL.2F/K2013","IRENE, DKK",K2013,2014,SD,0," 52,000 "
0023711521,"TEMATIK TERPADU: AIR, BUMI & MATAHARI JL.2F/K13N","IRENE, DKK",K13N,2018,SD,0," 65,000 "
0023711530,TEMATIK TERPADU: MERAWAT HEWAN & TUMBUHAN JL.2G/K2013,"IRENE, DKK",K2013,2014,SD,0," 45,000 "
0023711531,TEMATIK TERPADU: MERAWAT HEWAN & TUMBUHAN JL.2G/K13N,"IRENE, DKK",K13N,2018,SD,0," 65,000 "
0023711540,TEMATIK TERPADU: KESELAMATAN DIRUMAH & PERJALANANJL.2H/K2013,"IRENE, DKK",K2013,2014,SD,0," 45,000 "
0023711541,TEMATIK TERPADU: KESELAMATAN DIRUMAH & PERJALANANJL.2H/K13N,"IRENE, DKK",K13N,2018,SD,0," 65,000 "
0023711590,BUPENA: INDAHNYA KEBERSAMAAN 4A/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711600,BUPENA: TEMA SELALU BERHEMAT ENERGI 4B/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711610,BUPENA: PEDULI TERHADAP MAKHLUK HIDUP 4C/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711620,BUPENA: BERBAGI PEKERJAAN 4D/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711630,BUPENA: PAHLAWANKU 4E/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711640,BUPENA: INDAHNYA NEGERIKU 4F/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711650,BUPENA: CITA-CITAKU 4G/K2013,"IRENE, DKK",K2013,2014,SD,0," 32,000 "
0023711660,BUPENA: TEMPAT TINGGALKU 4H/K2013,"IRENE, DKK",K2013,2015,SD,0," 32,000 "
0023711670,BUPENA: MAKANANKU SEHAT DAN BERGIZI 4I/K2013,"IRENE, DKK",K2013,2015,SD,0," 32,000 "
0023711860,BUPENA 2A: HIDUP RUKUN/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711870,BUPENA 2B: BERMAIN DI LINGKUNGANKU/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711880,BUPENA 2C: TUGASKU SEHARI-HARI/K2013,"IRENE, DKK",K2013,2014,SD,0," 45,000 "
0023711890,BUPENA 2D: AKU & SEKOLAHKU/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711900,BUPENA 2E: HIDUP BERSIH & SEHAT/K2013,"IRENE, DKK",K2013,2014,SD,0," 43,000 "
0023711910,"BUPENA 2F: AIR,BUMI,& MATAHARI/K2013","IRENE, DKK",K2013,2014,SD,0," 36,000 "
0023711920,BUPENA 2G: MERAWAT HEWAN & TUMBUHAN/K2013,"IRENE, DKK",K2013,2014,SD,0," 36,000 "
0023711930,BUPENA 2H: KESELAMATAN DIRUMAH & PERJALANAN/K2013,"IRENE, DKK",K2013,2015,SD,0," 36,000 "
0023711940,BUPENA SD/MI 5A: BENDA2 DILINGKUNGAN SEKITAR/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711950,BUPENA SD/MI 5B: PERISTIWA DLM KEHIDUPAN/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711960,BUPENA SD/MI 5C: KERUKUNAN DLM BERMASYARAKAT/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711970,BUPENA SD/MI 5D: SEHAT ITU PENTING/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711980,BUPENA SD/MI 5E: BANGGA SBG BANGSA INDONESIA/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023711990,BUPENA SD/MI 5F: ORGAN TUBUH MANUSIA & HEWAN/K2013,"IRENE, DKK",K2013,2014,SD,0," 40,000 "
0023712000,BUPENA SD/MI 5G: SEJARAH PERADABAN INDONESIA/K2013,"IRENE, DKK",K2013,2015,SD,0," 32,000 "
