ITEMID,JUDUL,PENULIS,KURIKULUM,TAHUNTERBIT,JENJANG,PARETO, HARGA 
0054900071,MANDIRI B. INDONESIA SMK JL.3/K13N,HUSIN-RUSTAMAJI,K13N,2018,SMK,0," 70,999 "
0054900080,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.1/K2013,YUSTINAH,K2013,2014,SMK,0," 68,000 "
0054900081,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.1/K13N,YUSTINAH,K13N,2016,SMK,0," 68,000 "
0054900082,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.1/KIKD17,YUSTINAH,K13N,2018,SMK,0," 68,999 "
0054900090,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.2/K2013,YUSTINAH,K2013,2014,SMK,0," 65,000 "
0054900091,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.2/K13N,YUSTINAH,K13N,2017,SMK,0," 70,000 "
0054900092,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.2/KIKD17,YUSTINAH,K13N,2018,SMK,0," 70,999 "
0054900100,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.3/K2013,YUSTINAH,K2013,2015,SMK,0," 68,000 "
0054900101,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.3/K13N,YUSTINAH,K13N,2018,SMK,0," 68,999 "
0054900102,PRODUKTIF BERBAHASA INDONESIA SMK/MAK/JL.3/KIKD17,YUSTINAH,K13N,2018,SMK,0," 68,000 "
0054900110,B. INDONESIA SMK/MAK JL.1/KTSP,BUDI WAHYONO-MULYONO,KTSP,2016,SMK,0," 67,000 "
0054900120,B. INDONESIA SMK/MAK JL.2/KTSP,BUDI WAHYONO-MULYONO,KTSP,2016,SMK,0," 80,000 "
0054900130,B. INDONESIA SMK/MAK JL.3/KTSP,BUDI WAHYONO-MULYONO,KTSP,2016,SMK,0," 47,000 "
0055000010,IPA APLIKASI BID. KEAHLIAN PARIWISATA KLS.X/K13N,"SUSWANTO, DKK",K13N,2016,SMK,0," 77,000 "
0055000020,IPA APLIKASI BID. KEAHLIAN PARIWISATA KLS.XI/K13N,"SUSWANTO, DKK",K13N,2017,SMK,0," 80,000 "
0055100040,"MANDIRI MTK KLS.1 KEL. TEK., KES. & PERTANIAN","EKA ZULIANA, DKK",KTSP,2012,SMK,0," 52,000 "
0055100050,"MANDIRI MTK KLS.2 KEL. TEK., KES. & PERTANIAN","EKA ZULIANA, DKK",KTSP,2012,SMK,0," 43,000 "
0055100060,"MANDIRI MTK KLS.3 KEL. TEK., KES. & PERTANIAN","EKA ZULIANA, DKK",KTSP,2012,SMK,0," 52,000 "
0055100070,MANDIRI MTK KEL. AKUNTANSI & PEMASARAN KLS.1,TUTI M & SRI TATI S,KTSP,2012,SMK,0," 37,000 "
0055100080,MANDIRI MTK KEL. AKUNTANSI & PEMASARAN KLS.2,TUTI M & SRI TATI S,KTSP,2012,SMK,0," 37,000 "
0055100090,MANDIRI MTK KEL. AKUNTANSI & PEMASARAN KLS.3,TUTI M & SRI TATI S,KTSP,2012,SMK,0," 37,000 "
0055100160,"MANDIRI MTK SMK KEL.PARIWISATA,SENI KERAJINAN,DLL KLS.X/KTSP",TRI JARWANTO & DIAN ARITASARI,KTSP,2015,SMK,0," 30,000 "
0055100170,"MANDIRI MTK PARIWISATA,SENI KERAJINAN,DLL KLS.XI/KTSP",TRI JARWANTO & DIAN ARITASARI,KTSP,2013,SMK,0," 35,000 "
0055100180,"MANDIRI MTK PARIWISATA,SENI KERAJINAN,DLL KLS.XII/KTSP",TRI JARWANTO & DIAN ARITASARI,KTSP,2013,SMK,0," 40,000 "
0055100220,MATEMATIKA SMK/MAK KLS.X/K2013,KASMINA,K2013,2013,SMK,0," 100,000 "
0055100221,MATEMATIKA SMK/MAK KLS.X/K13N,KASMINA,K13N,2016,SMK,0," 62,000 "
0055100230,MATEMATIKA SMK/MAK KLS.XI/K2013,KASMINA,K2013,2014,SMK,0," 102,000 "
0055100231,MATEMATIKA SMK/MAK KLS.XI/K13N,KASMINA,K13N,2017,SMK,0," 80,000 "
0055100240,MATEMATIKA SMK/MAK KLS.XII/K2013,KASMINA,K2013,2015,SMK,0," 53,000 "
0055100241,MATEMATIKA SMK/MAK KLS.XII/K13N,KASMINA,K13N,2018,SMK,0," 53,999 "
0055100280,MANDIRI MATEMATIKA KLS.X/K2013,"EKA ZULIANA, DKK",K2013,2014,SMK,0," 75,000 "
0055100281,MANDIRI MATEMATIKA KLS.X/K13N,"EKA ZULIANA, DKK",K13N,2016,SMK,0," 35,000 "
0055100290,MANDIRI MATEMATIKA KLS.XI/K2013,"EKA ZULIANA, DKK",K2013,2015,SMK,0," 77,000 "
0055100291,MANDIRI MATEMATIKA KLS.XI/K13N,"EKA ZULIANA, DKK",K13N,2017,SMK,0," 55,000 "
0055100300,MANDIRI MATEMATIKA KLS.XII/K2013,"EKA ZULIANA, DKK",K2013,2015,SMK,0," 57,000 "
0055100301,MANDIRI MATEMATIKA KLS.XII/K13N,"EKA ZULIANA, DKK",K13N,2018,SMK,0," 57,999 "
